"","x","y","clase","x_square","y_square","radius","distance_to_mean","product","x_ln","y_ln","prediccion_original_gml","prediccion_completo_gml","prediccion_original_knn","prediccion_completo_knn","prediccion_original_tree","prediccion_completo_tree"
"41",0.338772709622469,0.37470927848164,"C1",0.11476694878495,0.140407043380231,0.505147495455714,0.23322856620142,0.126941277591905,-1.08242586955935,-0.981604811061431,"C2","C1","C2","C2","C2","C1"
"42",0.368451503347709,0.344296784766189,"C1",0.135756510319187,0.118540276000335,0.504278480920535,0.233299376821372,0.126856667944885,-0.99844618158283,-1.06625124714717,"C2","C1","C2","C2","C2","C1"
"46",0.437810605722518,0.205126082260576,"C1",0.191678126483118,0.0420767096235727,0.483481991501949,0.327276407186295,0.08980637432399,-0.825968869146781,-1.58413045348305,"C2","C2","C1","C1","C1","C2"
"49",0.616496503521433,0.22956993389969,"C1",0.380067938854152,0.0527023545507078,0.657852790071502,0.308087604993712,0.141529061562805,-0.483702627891902,-1.47154757302566,"C2","C2","C1","C1","C1","C1"
"50",0.648284407351094,0.247840142124484,"C1",0.42027267281456,0.0614247360482844,0.694044241286421,0.302880950579665,0.160670899654982,-0.433425778685227,-1.39497132886118,"C2","C2","C1","C1","C1","C1"
"54",0.77330961058918,0.339474553921355,"C1",0.598007753829589,0.115242972760103,0.844541725783689,0.312564164265031,0.262518935097858,-0.257075779422676,-1.08035628642317,"C2","C2","C1","C1","C2","C1"
"64",0.693996086647391,0.896651749056082,"C1",0.481630568281893,0.803984359085331,1.13384960526836,0.413238554102276,0.622272804930459,-0.365288957327844,-0.109087731933183,"C2","C2","C2","C2","C2","C2"
"65",0.641130072748532,0.929402661460884,"C1",0.411047770182538,0.863789307130574,1.12908683338046,0.42512624320259,0.595867995955095,-0.444522921042697,-0.0732131987019574,"C2","C2","C2","C2","C2","C2"
"66",0.489655526107901,0.991459656361289,"C1",0.239762534248005,0.982992250192045,1.10578243087872,0.470392879357782,0.485473699650345,-0.714053143046483,-0.00857702134958327,"C2","C2","C2","C2","C2","C2"
"67",0.310718516541707,0.986940751710274,"C1",0.0965459965218793,0.974052047386441,1.03469707833178,0.509684756767243,0.306660766285974,-1.1688678681513,-0.0131452700127837,"C2","C1","C1","C1","C2","C2"
"72",0.191326069001358,0.855851428244805,"C1",0.0366056646795124,0.732481667228673,0.876976243639579,0.468188790757449,0.163746689415276,-1.6537761389433,-0.155658483039139,"C2","C1","C1","C1","C2","C2"
"77",0.0992512664485024,0.258703642657576,"C1",0.00985081389163162,0.066927574724299,0.277089134785055,0.496004672131805,0.0256766641686053,-2.31010059930983,-1.35207210926471,"C2","C2","C2","C2","C1","C2"
"80",0.163868682753591,0.043892462709497,"C1",0.0268529451873971,0.00192654828270458,0.169645198782935,0.595939701141134,0.00719260004701639,-1.80868988681848,-3.1260126659084,"C2","C2","C1","C2","C2","C2"
"82",0.185078400043687,0.0823656388155435,"C1",0.0342540141627311,0.00678409845749257,0.202578657859666,0.552444079810724,0.015244100650557,-1.68697575965497,-2.49658693370307,"C2","C2","C2","C2","C2","C2"
"84",0.954614872937345,0.125850752957905,"C1",0.911289555633183,0.0158384120200716,0.962874845269755,0.588384687347901,0.120139000543979,-0.0464472942495576,-2.07265857443973,"C2","C1","C1","C1","C2","C2"
"88",0.998162372041741,0.274262434276058,"C1",0.996328120959995,0.0752198828550288,1.0351560287295,0.538901703553333,0.273758441958932,-0.00183931846785155,-1.29366984165292,"C2","C1","C1","C1","C1","C2"
"92",0.459285759377945,0.632070052486524,"C2",0.210943408767376,0.399512551250317,0.781316811554502,0.125489491941563,0.290300774036331,-0.778082693186695,-0.458755048435892,"C2","C1","C2","C2","C1","C2"
"93",0.445105571984447,0.625734002974582,"C2",0.198118970211602,0.391543042478594,0.767894532270022,0.127689218333774,0.278517691304119,-0.809443784538467,-0.468829913560226,"C2","C1","C2","C2","C1","C2"
"100",0.319983659162085,0.547039375160042,"C2",0.102389542130758,0.299252077975489,0.633752017832091,0.201168624445623,0.175043660969451,-1.13948534961072,-0.603234495311669,"C2","C1","C2","C2","C1","C1"
"105",0.351719366316404,0.41589252395832,"C2",0.123706512642013,0.172966591484422,0.544677064072313,0.198604589359969,0.14627745498235,-1.0449216761436,-0.877328407969923,"C2","C1","C2","C2","C2","C1"
"108",0.440502513852576,0.418564695032088,"C2",0.194042464710439,0.175196403927304,0.60765028481664,0.130222682473949,0.184378800371572,-0.819839126805895,-0.870923813109791,"C2","C1","C2","C2","C2","C2"
"110",0.499928593182247,0.361349316727967,"C2",0.249928598281181,0.130573328699768,0.61684838249034,0.161869496256058,0.180648855559179,-0.69329000439429,-1.01791015214198,"C2","C1","C2","C2","C2","C2"
"118",0.658404071982066,0.487929224955778,"C2",0.433495922002566,0.238074928565946,0.819494265122406,0.142938545582147,0.321254588549938,-0.417936444975482,-0.717584914475301,"C2","C1","C2","C2","C1","C2"
"119",0.699276062867182,0.491659786617452,"C2",0.488987012099027,0.241729345776719,0.854819488474464,0.182232510807585,0.34380591985597,-0.357709674992341,-0.70996829229467,"C2","C1","C2","C1","C1","C2"
"123",0.705579565664004,0.663276022199741,"C2",0.497842523482605,0.439935081625111,0.968389180602363,0.23354904845015,0.467994007659042,-0.348735734935662,-0.410564052358149,"C2","C2","C2","C2","C1","C1"
"131",0.535306188629327,0.859671171619959,"C2",0.286552715584856,0.739034523314434,1.0127128116595,0.338016471881507,0.460187298354388,-0.624916380601009,-0.151205321433707,"C2","C2","C2","C2","C2","C2"
"133",0.433949929673296,0.844395570927181,"C2",0.188312541463459,0.71300388020144,0.949376859663695,0.333556810236219,0.366425398620293,-0.834826120953663,-0.169134208252446,"C2","C2","C2","C2","C2","C2"
"135",0.456521685949081,0.845620380352046,"C2",0.208412049741791,0.71507382766674,0.960981725845258,0.32968881415995,0.38604404171122,-0.784119075258168,-0.167684743070326,"C2","C2","C2","C2","C2","C2"
"137",0.321058099013469,0.827901774128502,"C2",0.103078302942142,0.685421347605121,0.887975028110174,0.364662300328678,0.265804569771575,-1.1361331784181,-0.188860761913592,"C2","C2","C2","C2","C2","C2"
"143",0.25215623631204,0.624416049645617,"C2",0.0635827675110535,0.389895403055038,0.673407878307116,0.286366798395278,0.157450400971471,-1.377706398217,-0.470938386562273,"C2","C2","C1","C1","C1","C1"
"146",0.172383146747697,0.52096721735811,"C2",0.0297159492826379,0.271406841561853,0.548746563401075,0.347208868819443,0.0898059682805823,-1.75803568221494,-0.652068161745692,"C2","C2","C2","C2","C1","C2"
"147",0.19518223604002,0.499531700549654,"C2",0.038096105265582,0.249531919854029,0.536309635490181,0.325186721021006,0.0974997142861549,-1.63382161303759,-0.694084218343448,"C2","C2","C2","C2","C1","C2"
"150",0.185880263191938,0.327088535911286,"C2",0.0345514722443042,0.106986910324589,0.376215872297931,0.386472299401839,0.0607993031422555,-1.68265255884244,-1.11752439270932,"C2","C2","C2","C2","C2","C2"
"151",0.227168315757419,0.259995007870453,"C2",0.0516054436840625,0.0675974041175569,0.34525765422597,0.392642216234857,0.0590626280432677,-1.48206405715298,-1.3470928486492,"C2","C1","C2","C2","C1","C2"
"153",0.202061801243955,0.174227524060422,"C2",0.0408289715219514,0.0303552301402248,0.266803676253113,0.470939696805472,0.0352047273379232,-1.59918168162085,-1.74739322440177,"C2","C1","C2","C2","C2","C2"
"163",0.617762689729798,0.0930705058499633,"C2",0.381630740822195,0.00866211905916805,0.624734231398731,0.440040533911065,0.0574954860283862,-0.481650892471225,-2.37439794564335,"C2","C2","C2","C2","C2","C2"
"166",0.721781159065376,0.15006382028084,"C2",0.520968041581758,0.0225191501572804,0.737215837959982,0.423358802445975,0.108313238136083,-0.326033289822116,-1.89669460683302,"C2","C2","C2","C2","C2","C2"
"170",0.767457015274101,0.250683355138738,"C2",0.588990270293431,0.0628421445436147,0.807361390479533,0.367507219244565,0.192388699513673,-0.264672807246712,-1.38356466956516,"C2","C2","C1","C1","C1","C2"
"171",0.815207784252448,0.265109442431226,"C2",0.664563731505786,0.0702830164661954,0.857232026916856,0.391653911070669,0.216119281148761,-0.2043122482325,-1.32761254794643,"C2","C2","C1","C1","C1","C2"
"172",0.825916510746151,0.330736380539827,"C2",0.682138082723096,0.109386553412585,0.8896767031544,0.361144279400951,0.273160637392265,-0.191261587148251,-1.10643365434108,"C2","C1","C1","C1","C2","C2"
"174",0.86218458794622,0.343060439246824,"C2",0.743362263691992,0.117690464976224,0.927929269216257,0.386519567428183,0.295781423452672,-0.148285892094212,-1.06984863962226,"C2","C1","C1","C1","C2","C2"
"176",0.924834532573316,0.391914170763348,"C2",0.855318912640105,0.153596717245123,1.0044479229334,0.425617647350025,0.36245575892678,-0.0781404411758329,-0.936712415299509,"C2","C1","C2","C2","C2","C2"
"180",0.87594645508435,0.62055057058963,"C2",0.76728219217484,0.385083010659116,1.07348274454411,0.369726723627497,0.543569072508558,-0.132450314246847,-0.477148177916851,"C2","C2","C1","C1","C2","C2"
"182",0.938890482289723,0.688617558314628,"C2",0.881515337734229,0.474194141619201,1.16434938027786,0.451184229425124,0.646536471439193,-0.0630564388552622,-0.373069229833775,"C2","C2","C2","C2","C2","C2"
"187",0.868250201336301,0.91772455274243,"C2",0.753858412120527,0.842218354706293,1.26335931817786,0.527395055942188,0.796814527689881,-0.141275355470505,-0.0858579848649329,"C2","C2","C2","C2","C2","C2"
"188",0.872266327210782,0.936391871771399,"C2",0.760848545585788,0.876829737519545,1.27971804828459,0.544136144216837,0.816783098820068,-0.136660480591408,-0.0657212236984427,"C2","C2","C2","C2","C2","C2"
"189",0.814661267210698,0.982308895990027,"C2",0.663672980293341,0.964930767141145,1.2761676016239,0.546747153644512,0.800249009999577,-0.204982875190833,-0.0178494620560269,"C2","C2","C2","C2","C2","C2"
